ArchiveDate,Adult_Child,Speciality,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
13/05/2021,Child,Paediatric Radiology,12,6,12,12,42
13/05/2021,Child,Paediatric Respiratory Medicine,389,274,226,208,"1,097"
13/05/2021,Child,Paediatric Surgery,290,113,54,29,486
13/05/2021,Child,Paediatric Urology,169,89,49,89,396
13/05/2021,Child,Paediatrics,34,17,15,7,73
13/05/2021,Child,Plastic Surgery,184,81,61,57,383
13/05/2021,Child,Rheumatology,6,4,4,64,78
13/05/2021,Child,Small Volume Specialties,12,6,4,2,23
13/05/2021,Child,Urology,142,73,61,51,327
29/07/2021,Adult,Anaesthetics,212,4,0,2,218
29/07/2021,Adult,Breast Surgery,52,38,13,32,135
29/07/2021,Adult,Cardio-Thoracic Surgery,187,58,24,69,338
29/07/2021,Adult,Cardiology,"2,544",951,240,228,"3,963"
29/07/2021,Adult,Clinical Immunology,107,50,0,21,178
29/07/2021,Adult,Dental Surgery,37,12,4,4,58
29/07/2021,Adult,Dermatology,761,121,97,107,"1,086"
29/07/2021,Adult,Endocrinology,12,16,6,13,48
29/07/2021,Adult,Gastro-Enterology,270,91,65,97,523
29/07/2021,Adult,Gastro-Intestinal Surgery,164,65,34,172,435
29/07/2021,Adult,General Medicine,178,80,25,13,297
29/07/2021,Adult,General Surgery,"6,774","2,682","1,106","1,982","12,544"
29/07/2021,Adult,Geriatric Medicine,17,14,4,8,43
29/07/2021,Adult,Gynaecology,"2,848","1,080",451,906,"5,285"
29/07/2021,Adult,Haematology,32,4,0,0,36
29/07/2021,Adult,Hepato-Biliary Surgery,20,6,6,47,80
29/07/2021,Adult,Maxillo-Facial,252,115,74,263,704
29/07/2021,Adult,Nephrology,58,11,2,2,74
29/07/2021,Adult,Neurology,203,33,17,50,303
29/07/2021,Adult,Neurosurgery,291,163,89,71,615
29/07/2021,Adult,Oncology,81,4,4,0,90
29/07/2021,Adult,Ophthalmology,"5,332","1,155",499,945,"7,931"
29/07/2021,Adult,Oral Surgery,193,109,36,123,461
29/07/2021,Adult,Orthopaedics,"5,154","1,937",885,"1,860","9,836"
29/07/2021,Adult,Otolaryngology (ENT),"1,713",700,305,813,"3,531"
29/07/2021,Adult,Pain Relief,"2,404","1,009",481,"1,049","4,943"
29/07/2021,Adult,Plastic Surgery,"1,950",820,310,851,"3,931"
29/07/2021,Adult,Radiology,20,176,70,122,388
29/07/2021,Adult,Respiratory Medicine,230,67,46,128,471
29/07/2021,Adult,Rheumatology,182,71,80,85,418
29/07/2021,Adult,Small Volume Specialties,4,4,2,2,13
29/07/2021,Adult,Urology,"4,718","1,899","1,043","1,494","9,154"
29/07/2021,Adult,Vascular Surgery,764,319,122,259,"1,464"
29/07/2021,Child,Cardio-Thoracic Surgery,52,13,2,0,67
29/07/2021,Child,Clinical Immunology,124,26,9,12,171
29/07/2021,Child,Dental Surgery,75,59,35,106,275
29/07/2021,Child,General Surgery,145,61,28,22,256
29/07/2021,Child,Immunology,57,15,13,9,94
29/07/2021,Child,Maxillo-Facial,54,22,18,26,120
29/07/2021,Child,Ophthalmology,312,136,90,95,633
29/07/2021,Child,Oral Surgery,15,9,2,9,35
29/07/2021,Child,Orthopaedics,234,65,26,37,362
29/07/2021,Child,Otolaryngology (ENT),276,99,51,75,501
29/07/2021,Child,Paed Cardiology,131,63,26,33,253
29/07/2021,Child,Paed Endocrinology,42,9,8,7,65
29/07/2021,Child,Paed Gastro-Enterol,11,6,6,4,26
29/07/2021,Child,Paed Nephrology,8,6,8,2,23
29/07/2021,Child,Paed Orthopaedic,461,263,185,325,"1,234"
29/07/2021,Child,Paediatric Dermatology,43,19,4,5,71
29/07/2021,Child,Paediatric ENT,226,163,73,145,607
29/07/2021,Child,Paediatric Neurology,14,8,4,2,27
29/07/2021,Child,Paediatric Neurosurgery,22,6,4,4,35
29/07/2021,Child,Paediatric Radiology,12,6,12,12,41
29/07/2021,Child,Paediatric Respiratory Medicine,400,315,169,264,"1,148"
29/07/2021,Child,Paediatric Surgery,305,116,49,49,519
29/07/2021,Child,Paediatric Urology,135,108,44,95,382
29/07/2021,Child,Paediatrics,53,19,8,12,91
29/07/2021,Child,Plastic Surgery,165,86,58,59,368
29/07/2021,Child,Rheumatology,33,6,2,68,109
29/07/2021,Child,Small Volume Specialties,41,17,13,10,81
29/07/2021,Child,Urology,134,81,56,79,350
26/08/2021,Adult,Anaesthetics,232,15,0,2,249
26/08/2021,Adult,Breast Surgery,61,39,13,38,151
26/08/2021,Adult,Cardio-Thoracic Surgery,195,36,17,60,308
26/08/2021,Adult,Cardiology,"2,329",868,222,248,"3,667"
26/08/2021,Adult,Clinical Immunology,108,48,0,20,176
26/08/2021,Adult,Dental Surgery,34,10,6,4,54
26/08/2021,Adult,Dermatology,725,108,62,127,"1,022"
26/08/2021,Adult,Endocrinology,9,18,6,14,47
26/08/2021,Adult,Gastro-Enterology,263,98,58,95,514
26/08/2021,Adult,Gastro-Intestinal Surgery,153,76,29,181,439
26/08/2021,Adult,General Medicine,177,72,26,22,297
26/08/2021,Adult,General Surgery,"6,784","2,425","1,020","2,105","12,334"
26/08/2021,Adult,Geriatric Medicine,24,15,2,8,49
26/08/2021,Adult,Gynaecology,"3,035","1,009",397,942,"5,383"
26/08/2021,Adult,Haematology,31,4,0,0,35
