ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
13/05/2021,Child,University Hospital Waterford,72,23,29,19,142
13/05/2021,Child,Wexford General Hospital,20,0,0,0,20
29/07/2021,Adult,Bantry General Hospital,130,25,12,4,171
29/07/2021,Adult,Beaumont Hospital,"3,771",898,249,244,"5,162"
29/07/2021,Adult,Cavan General Hospital,331,9,10,0,350
29/07/2021,Adult,Connolly Hospital Blanchardstown,515,2,6,0,523
29/07/2021,Adult,Coombe Women and Infants University Hospital,97,47,2,2,148
29/07/2021,Adult,Cork University Hospital,529,287,105,222,"1,143"
29/07/2021,Adult,Cork University Maternity Hospital,234,136,19,197,586
29/07/2021,Adult,Croom Orthopaedic Hospital,554,217,109,29,909
29/07/2021,Adult,Ennis Hospital,230,144,87,16,478
29/07/2021,Adult,Galway University Hospitals,"3,372","1,932",733,"2,414","8,451"
29/07/2021,Adult,Kilcreene Regional Orthopaedic Hospital,201,24,8,7,240
29/07/2021,Adult,Letterkenny University Hospital,"1,002",715,354,607,"2,679"
29/07/2021,Adult,Louth County Hospital,453,103,15,6,578
29/07/2021,Adult,Mallow General Hospital,132,56,17,13,219
29/07/2021,Adult,Mater Misericordiae University Hospital,"3,142",652,372,961,"5,128"
29/07/2021,Adult,Mayo University Hospital,391,248,114,394,"1,148"
29/07/2021,Adult,Mercy University Hospital,540,202,111,240,"1,093"
29/07/2021,Adult,Midland Regional Hospital Mullingar,417,215,111,34,777
29/07/2021,Adult,Midland Regional Hospital Portlaoise,216,189,78,76,559
29/07/2021,Adult,Midland Regional Hospital Tullamore,700,195,78,245,"1,218"
29/07/2021,Adult,Naas General Hospital,157,94,48,26,325
29/07/2021,Adult,National Orthopaedic Hospital Cappagh,"1,245",156,13,23,"1,437"
29/07/2021,Adult,Nenagh Hospital,439,407,409,375,"1,630"
29/07/2021,Adult,Our Lady of Lourdes Hospital Drogheda,455,139,37,4,636
29/07/2021,Adult,Our Lady's Hospital Navan,470,121,29,37,658
29/07/2021,Adult,Portiuncula University Hospital,284,66,47,56,454
29/07/2021,Adult,Roscommon University Hospital,357,213,120,118,809
29/07/2021,Adult,Royal Victoria Eye and Ear Hospital,"1,634",362,139,180,"2,315"
29/07/2021,Adult,Sligo University Hospital,"1,627",644,287,450,"3,008"
29/07/2021,Adult,South Infirmary Victoria University Hospital,"1,822",569,120,162,"2,674"
29/07/2021,Adult,St. Columcille's Hospital,471,110,32,32,646
29/07/2021,Adult,St. James's Hospital,"2,597","1,181",461,"1,473","5,713"
29/07/2021,Adult,St. John's Hospital Limerick,504,332,194,338,"1,369"
29/07/2021,Adult,St. Luke's General Hospital Kilkenny,485,176,136,166,964
29/07/2021,Adult,St. Michael's Hospital,465,132,35,56,689
29/07/2021,Adult,St. Vincent's University Hospital,"1,915",556,242,388,"3,101"
29/07/2021,Adult,Tallaght University Hospital,"1,964",706,401,621,"3,692"
29/07/2021,Adult,Tipperary University Hospital,228,14,2,0,245
29/07/2021,Adult,University Hospital Kerry,287,105,63,39,495
29/07/2021,Adult,University Hospital Limerick,863,474,298,439,"2,074"
29/07/2021,Adult,University Hospital Waterford,"1,964",659,328,"1,135","4,085"
29/07/2021,Adult,Wexford General Hospital,559,369,81,9,"1,018"
29/07/2021,Child,Beaumont Hospital,22,9,20,8,59
29/07/2021,Child,Children's Health Ireland,"2,553","1,376",764,"1,221","5,914"
29/07/2021,Child,Cork University Hospital,73,41,15,24,153
29/07/2021,Child,Galway University Hospitals,153,80,48,81,361
29/07/2021,Child,Letterkenny University Hospital,22,27,10,32,91
29/07/2021,Child,Mayo University Hospital,8,6,6,2,22
29/07/2021,Child,Mercy University Hospital,64,44,10,6,124
29/07/2021,Child,Midland Regional Hospital Tullamore,86,6,2,0,94
29/07/2021,Child,National Orthopaedic Hospital Cappagh,156,31,9,19,215
29/07/2021,Child,Nenagh Hospital,16,9,18,15,58
29/07/2021,Child,Our Lady of Lourdes Hospital Drogheda,12,9,7,2,30
29/07/2021,Child,Portiuncula University Hospital,18,6,0,0,24
29/07/2021,Child,Royal Victoria Eye and Ear Hospital,32,10,15,16,73
29/07/2021,Child,Sligo University Hospital,95,38,14,28,175
29/07/2021,Child,Small Volume Hospitals,88,10,4,6,108
29/07/2021,Child,South Infirmary Victoria University Hospital,88,30,8,10,136
29/07/2021,Child,University Hospital Limerick,55,26,43,61,185
29/07/2021,Child,University Hospital Waterford,49,40,13,19,121
26/08/2021,Adult,Bantry General Hospital,92,19,11,4,127
26/08/2021,Adult,Beaumont Hospital,"3,451",797,200,235,"4,683"
26/08/2021,Adult,Cavan General Hospital,291,27,4,4,327
26/08/2021,Adult,Connolly Hospital Blanchardstown,421,2,0,0,423
26/08/2021,Adult,Coombe Women and Infants University Hospital,115,45,4,2,166
26/08/2021,Adult,Cork University Hospital,512,257,99,249,"1,118"
26/08/2021,Adult,Cork University Maternity Hospital,249,126,14,205,594
26/08/2021,Adult,Croom Orthopaedic Hospital,623,202,96,38,959
26/08/2021,Adult,Ennis Hospital,208,159,84,25,477
26/08/2021,Adult,Galway University Hospitals,"3,528","1,912",653,"2,524","8,618"
26/08/2021,Adult,Kilcreene Regional Orthopaedic Hospital,227,20,6,8,261
26/08/2021,Adult,Letterkenny University Hospital,"1,079",635,342,641,"2,698"
26/08/2021,Adult,Louth County Hospital,488,65,18,2,574
26/08/2021,Adult,Mallow General Hospital,120,51,18,10,199
26/08/2021,Adult,Mater Misericordiae University Hospital,"3,094",695,326,"1,007","5,121"
26/08/2021,Adult,Mayo University Hospital,406,246,83,416,"1,152"
26/08/2021,Adult,Mercy University Hospital,519,218,110,258,"1,105"
26/08/2021,Adult,Midland Regional Hospital Mullingar,437,181,99,58,776
26/08/2021,Adult,Midland Regional Hospital Portlaoise,237,168,75,85,566
