Archive_Date,Group,Hospital_HIPE,Hospital,Specialty_HIPE1,Speciality,Adult_Child,Age_Profile,Time_Bands,Total
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0600,Otolaryngology (ENT),Adult,16-64, 3-6 Months,64
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0600,Otolaryngology (ENT),Adult,16-64, 6-9 Months,61
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0600,Otolaryngology (ENT),Adult,16-64, 9-12 Months,46
25/02/2021,Saolta University Health Care Group,0802,Mayo University Hospital,0600,Otolaryngology (ENT),Adult,16-64,12-15 Months,70
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1907,Paed Haematology,Child,0-15,15-18 Months,2
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1909,Paediatric Infectious Diseases,Child,0-15, 6-9 Months,26
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1909,Paediatric Infectious Diseases,Child,0-15,15-18 Months,15
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1910,Paed Metabolic Medicine,Child,16-64,18 Months +,1
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15, 9-12 Months,41
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,0-15,15-18 Months,29
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1911,Paed Nephrology,Child,16-64, 9-12 Months,2
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15, 0-3 Months,203
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,0-15,18 Months +,831
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 0-3 Months,2
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 3-6 Months,8
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64, 6-9 Months,3
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1912,Paediatric Respiratory Medicine,Child,16-64,12-15 Months,8
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1915,Paediatric Dermatology,Child,0-15, 9-12 Months,225
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15, 6-9 Months,32
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,1916,Developmental Paediatrics,Child,0-15,15-18 Months,71
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2000,Plastic Surgery,Child,0-15, 9-12 Months,126
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2102,Child/Adolescent Psychiatry,Child,16-64, 0-3 Months,2
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15, 0-3 Months,120
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,0-15,18 Months +,561
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64, 0-3 Months,5
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64, 3-6 Months,4
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64, 6-9 Months,3
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,2500,Rheumatology,Child,16-64,12-15 Months,9
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,0-15, 0-3 Months,135
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,0-15,18 Months +,643
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,16-64, 0-3 Months,52
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,16-64, 3-6 Months,38
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,16-64, 6-9 Months,38
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,16-64,12-15 Months,54
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,6700,Clinical (Medical) Genetics,Child,16-64,18 Months +,222
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15, 3-6 Months,47
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15, 6-9 Months,37
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15,12-15 Months,69
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7000,Dental Surgery,Child,0-15,15-18 Months,41
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Child,0-15, 6-9 Months,572
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7200,Paediatric Surgery,Child,0-15,15-18 Months,315
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7600,Cardio-Thoracic Surgery,Child,0-15, 9-12 Months,9
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7803,Paediatric Urology,Child,0-15, 9-12 Months,81
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7803,Paediatric Urology,Child,16-64,18 Months +,16
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7900,Clinical Immunology,Child,0-15, 0-3 Months,134
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7900,Clinical Immunology,Child,0-15,18 Months +,1018
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7900,Clinical Immunology,Child,16-64, 0-3 Months,2
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7900,Clinical Immunology,Child,16-64, 3-6 Months,1
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7900,Clinical Immunology,Child,16-64, 6-9 Months,1
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7900,Clinical Immunology,Child,16-64,12-15 Months,1
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,7900,Clinical Immunology,Child,16-64,18 Months +,72
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,8003,Pain Relief,Child,0-15, 3-6 Months,8
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,8003,Pain Relief,Child,0-15,12-15 Months,3
25/02/2021,Children's Health Ireland,0000,Children's Health Ireland,8004,Paediatric Anaesthetics,Child,0-15, 6-9 Months,6
