ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
13/05/2021,Adult,Nenagh Hospital,405,405,270,134,"1,214"
13/05/2021,Adult,Our Lady of Lourdes Hospital Drogheda,"5,527","3,087","1,406","1,629","11,648"
13/05/2021,Adult,Our Lady's Hospital Navan,"2,523","1,514","1,219","2,169","7,425"
13/05/2021,Adult,Portiuncula University Hospital,"1,788",844,560,743,"3,935"
13/05/2021,Adult,Roscommon University Hospital,"2,317","1,203",842,"2,011","6,373"
13/05/2021,Adult,Rotunda Hospital,"2,268",965,32,0,"3,265"
13/05/2021,Adult,Royal Victoria Eye and Ear Hospital,"3,521","2,182","1,881","7,073","14,657"
13/05/2021,Adult,Sligo University Hospital,"6,091","3,892","2,705","4,706","17,393"
13/05/2021,Adult,South Infirmary Victoria University Hospital,"7,173","3,534","2,376","7,278","20,361"
13/05/2021,Adult,St. Columcille's Hospital,"1,591","1,093",788,"1,571","5,042"
13/05/2021,Adult,St. James's Hospital,"11,933","5,098","3,370","5,707","26,107"
13/05/2021,Adult,St. John's Hospital Limerick,693,360,157,440,"1,649"
13/05/2021,Adult,St. Luke's General Hospital Kilkenny,"2,212",449,147,213,"3,020"
13/05/2021,Adult,St. Michael's Hospital,"2,173",512,335,398,"3,417"
13/05/2021,Adult,St. Vincent's University Hospital,"11,956","4,906","3,657","6,245","26,763"
13/05/2021,Adult,Tallaght University Hospital,"11,097","7,139","4,782","11,986","35,004"
13/05/2021,Adult,Tipperary University Hospital,"2,032",872,401,544,"3,849"
13/05/2021,Adult,University Hospital Kerry,"3,846","2,552","1,536","2,909","10,842"
13/05/2021,Adult,University Hospital Limerick,"10,799","7,367","5,246","17,682","41,094"
13/05/2021,Adult,University Hospital Waterford,"11,721","7,943","6,397","15,236","41,297"
13/05/2021,Adult,Wexford General Hospital,"2,305",877,195,6,"3,383"
13/05/2021,Child,Beaumont Hospital,70,15,5,0,90
13/05/2021,Child,Cavan General Hospital,340,69,66,4,479
13/05/2021,Child,Children's Health Ireland,"15,036","7,355","5,596","14,355","42,342"
13/05/2021,Child,Cork University Hospital,"2,206","1,015",727,983,"4,931"
13/05/2021,Child,Cork University Maternity Hospital,43,4,0,0,47
13/05/2021,Child,Croom Orthopaedic Hospital,132,85,36,8,261
13/05/2021,Child,Ennis Hospital,10,7,5,7,30
13/05/2021,Child,Galway University Hospitals,"1,962",948,740,"1,218","4,868"
13/05/2021,Child,Letterkenny University Hospital,735,304,275,890,"2,205"
13/05/2021,Child,Mallow General Hospital,57,33,50,38,177
13/05/2021,Child,Mayo University Hospital,502,164,140,713,"1,519"
13/05/2021,Child,Mercy University Hospital,258,129,95,101,582
