ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
29/02/2024,Child,South Infirmary Victoria University Hospital,"1,507",869,206,294,"2,875"
29/02/2024,Child,St. John's Hospital Limerick,4,0,0,0,4
29/02/2024,Child,St. Luke's General Hospital Kilkenny,391,33,5,2,431
29/02/2024,Child,Tallaght University Hospital,21,5,0,0,26
29/02/2024,Child,Tipperary University Hospital,311,45,2,0,358
29/02/2024,Child,University Hospital Kerry,756,238,51,2,"1,047"
29/02/2024,Child,University Hospital Limerick,"2,603",898,207,130,"3,838"
29/02/2024,Child,University Hospital Waterford,"1,992","1,080",280,308,"3,659"
29/02/2024,Child,Wexford General Hospital,617,342,107,0,"1,066"
28/03/2024,Adult,Bantry General Hospital,714,198,67,43,"1,022"
28/03/2024,Adult,Beaumont Hospital,"25,832","11,164","1,602",180,"38,779"
28/03/2024,Adult,Cavan General Hospital,"5,182","2,338",141,65,"7,726"
28/03/2024,Adult,Connolly Hospital Blanchardstown,"4,882",347,0,0,"5,229"
28/03/2024,Adult,Coombe Women and Infants University Hospital,"1,507",897,226,28,"2,658"
28/03/2024,Adult,Cork University Hospital,"15,220","7,328","3,425","4,999","30,972"
28/03/2024,Adult,Cork University Maternity Hospital,"2,164",30,4,0,"2,198"
28/03/2024,Adult,Croom Orthopaedic Hospital,"3,016","1,427",356,82,"4,881"
28/03/2024,Adult,Ennis Hospital,459,356,248,39,"1,102"
28/03/2024,Adult,Galway University Hospitals,"22,165","8,098","4,095","7,264","41,623"
28/03/2024,Adult,Letterkenny University Hospital,"7,881","2,292","1,044","1,728","12,946"
28/03/2024,Adult,Louth County Hospital,"1,536",389,0,0,"1,925"
28/03/2024,Adult,Mallow General Hospital,"2,320",831,306,42,"3,499"
28/03/2024,Adult,Mater Misericordiae University Hospital,"22,254","7,568","3,161","5,127","38,110"
28/03/2024,Adult,Mayo University Hospital,"3,799","1,215",460,375,"5,849"
28/03/2024,Adult,Mercy University Hospital,"3,040","1,380",522,878,"5,820"
28/03/2024,Adult,Midland Regional Hospital Mullingar,"4,555","1,861","1,061","1,171","8,647"
28/03/2024,Adult,Midland Regional Hospital Portlaoise,"2,245","1,099",481,450,"4,275"
28/03/2024,Adult,Midland Regional Hospital Tullamore,"8,179","2,045",245,2,"10,471"
28/03/2024,Adult,Naas General Hospital,"6,159","2,940",754,163,"10,015"
28/03/2024,Adult,National Maternity Hospital (Holles Street),"2,570",609,60,0,"3,239"
28/03/2024,Adult,National Orthopaedic Hospital Cappagh,"2,843","1,824",607,186,"5,459"
28/03/2024,Adult,Nenagh Hospital,322,276,210,38,846
28/03/2024,Adult,Our Lady of Lourdes Hospital Drogheda,"8,360","3,280",279,82,"12,002"
28/03/2024,Adult,Our Lady's Hospital Navan,"3,544","2,060",593,163,"6,360"
28/03/2024,Adult,Portiuncula University Hospital,"2,061",319,129,80,"2,589"
28/03/2024,Adult,Roscommon University Hospital,"2,318",807,153,185,"3,464"
28/03/2024,Adult,Rotunda Hospital,"3,747",719,0,1,"4,467"
28/03/2024,Adult,Royal Victoria Eye and Ear Hospital,"5,715","2,740","1,751","1,713","11,919"
28/03/2024,Adult,Sligo University Hospital,"7,289","2,391",919,"1,617","12,216"
28/03/2024,Adult,South Infirmary Victoria University Hospital,"11,499","6,458","2,803","4,091","24,851"
28/03/2024,Adult,St. Columcille's Hospital,"2,106","1,591","1,207","3,962","8,865"
28/03/2024,Adult,St. James's Hospital,"17,124","4,957","1,384","1,184","24,649"
